"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"1","Volkswagen Golf 1.6 Primeline
            2006 WW GOLF 1.6 L.P.G 102 HP OTOMATİK V.T.S ORJİNAL 175 BİN KM
                
                            
                            İlk Sahibi","2006",175000,"Gri (Gümüş)",41500,"12 Mayıs 2017"," Ankara Akyurt","Volkswagen Golf 1.6 ",29.3482646,40.9847981
"2","Toyota Corolla 1.6 XEi
            MAKİNA MÜHENDİSİ İLK SAHİBİNDEN,İYİ DURUMDA,ORİJİNALE YAKIN.
                
                            
                            İlk Sahibi","1996",250000,"Gri (metalik)",22500,"12 Mayıs 2017","İstanbul Beykoz","Toyota Corolla 1.6 X",37.3399768,37.203126
"3","Volkswagen Polo 1.4 TDi Comfortline
            BOYASIZ, DEĞİŞENSİZ, EKSTRALI POLO 1.4 TDI COMFORTLİNE DSG
                
                            
                            Yeni Gibi","2016",26500,"Beyaz",68750,"11 Mayıs 2017","İstanbulÜsküdar","Volkswagen Polo 1.4 ",28.850556,40.9975
"4","Volvo S40 1.6
            2001 Volvo S40   143.000 Km de","2001",143000,"Mor",29000,"11 Mayıs 2017","İstanbul Güngören","Volvo S40 1.6
     ",40.6354312,40.8596647
"6","Hyundai Accent Era 1.5 CRDi-VGT Team
            1.5 Crdi 110 luk Bakmadan Geçme Acil Accent Era
                
                            
                            Acil","2009",167950,"Gri (Gümüş)",26550,"08 Mayıs 2017"," Ankara Mamak","Hyundai Accent Era 1",27.1382404,38.5183996
"7","Dacia Sandero 1.5 dCi Stepway
            ÖZKAN'DAN...2015...NOKTA HATASIZZZ... GARANTİ KAPSAMINDA...
                
                            
                            Acil","2015",36000,"Siyah",48900,"28 Nisan 2017","İstanbul Büyükçekmece","Dacia Sandero 1.5 dC",28.850556,40.9975
"8","Renault Fluence 1.5 dCi Touch
            SAHİBİNDEN ""EMSALSİZ TEMİZLİKTE BOYASIZ HATASIZ SERVİS BAKIMLI 2015 ÇIKIŞLI""","2014",56000,"Beyaz",53900,"28 Nisan 2017"," Ankara Etimesgut","Renault Fluence 1.5 ",28.247868,41.073678
"9","Honda Civic 1.6 ES
            109.000 KM 1999 İ ES GÜVENLİK PAKETLİ  HONDA","1999",109000,"Füme",29900,"06 Nisan 2017"," Manisa Salihli","Honda Civic 1.6 ES
",28.850556,40.9975
"11","Renault Latitude 1.5 dCi Expression
            RENAULT Latitude 1.5 dCi Expression","2013",37462,"Kahverengi",61900,"14 Mayıs 2017","İstanbul Sarıyer","Renault Latitude 1.5",28.824722,41.0456474
"12","Renault Clio 1.5 dCi Touch
            RENAULT Clio 1.5 dCi Touch
                
                            
                            Yeni Gibi","2016",17000,"Kırmızı",55900,"14 Mayıs 2017","İstanbul Sarıyer","Renault Clio 1.5 dCi",35.2587964,36.9674013
